time	V(vout)	V(vpre)
1.000050602752586e-005	-2.471815e-005	8.891504e-001
1.000050602767063e-005	-2.471815e-005	8.891502e-001
1.000050602786366e-005	-2.471815e-005	8.891498e-001
1.000050602786969e-005	-2.471815e-005	8.891498e-001
1.000050602788176e-005	-2.471815e-005	8.891498e-001
1.000050602788477e-005	-2.471815e-005	8.891498e-001
1.000050602789080e-005	-2.471815e-005	8.891498e-001
1.000050602789331e-005	-2.471815e-005	8.891498e-001
1.000050602789631e-005	-2.471815e-005	8.891498e-001
1.000050602789831e-005	-2.471815e-005	8.891498e-001
1.000050602789931e-005	-2.471815e-005	8.891498e-001
1.000050602792875e-005	-2.471815e-005	8.891497e-001
1.000050602816430e-005	-2.471815e-005	8.891493e-001
1.000050602816530e-005	-2.471815e-005	8.891493e-001
1.000050602840084e-005	-2.471815e-005	8.891489e-001
1.000050602863639e-005	-2.471815e-005	8.891485e-001
1.000050602887193e-005	-2.471815e-005	8.891481e-001
1.000050602890137e-005	-2.471815e-005	8.891480e-001
1.000050602893082e-005	-2.471815e-005	8.891479e-001
1.000050602893182e-005	-2.471815e-005	8.891479e-001
1.000050602893550e-005	-2.471815e-005	8.891479e-001
1.000050603082353e-005	-2.471815e-005	8.891445e-001
1.000050603085297e-005	-2.471815e-005	8.891445e-001
1.000050603088241e-005	-2.471815e-005	8.891444e-001
1.000050603088609e-005	-2.471815e-005	8.891444e-001
1.000050603088977e-005	-2.471815e-005	8.891444e-001
1.000050603089077e-005	-2.471815e-005	8.891444e-001
1.000050603089445e-005	-2.471815e-005	8.891444e-001
1.000050603089813e-005	-2.471815e-005	8.891444e-001
1.000050603089913e-005	-2.471815e-005	8.891444e-001
1.000050603090281e-005	-2.471815e-005	8.891444e-001
1.000050603090381e-005	-2.471815e-005	8.891444e-001
1.000050603090481e-005	-2.471815e-005	8.891444e-001
1.000050603278915e-005	-2.471815e-005	8.891410e-001
1.000050603467349e-005	-2.471815e-005	8.891376e-001
1.000050603470293e-005	-2.471815e-005	8.891375e-001
1.000050603473237e-005	-2.471815e-005	8.891375e-001
1.000050603476182e-005	-2.471815e-005	8.891374e-001
1.000050603476550e-005	-2.471815e-005	8.891374e-001
1.000050603479494e-005	-2.471815e-005	8.891374e-001
1.000050603482438e-005	-2.471815e-005	8.891373e-001
1.000050603485382e-005	-2.471815e-005	8.891373e-001
